TEXT_FILE,QUOTE_TRANSCRIPTION,REGION,DATES,Geonames_ID,JSON,Alternate Names,Latitude,Longitude,Column,Column2,Comments,Column3,Column4,Column5
tahiri.txt,Tāhiri,Persian Coast,10,47844,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""no""?>
<geoname>
    <toponymName>Ţāherī</toponymName>
    <name>Ţāherī</name>
    <lat>27.2914</lat>
    <lng>56.6808</lng>
    <geonameId>47844</geonameId>
    <countryCode>IR</countryCode>
    <countryName>Iran</countryName>
    <fcl>P</fcl>
    <fcode>PPL</fcode>
    <fclName>city, village,...</fclName>
    <fcodeName>populated place</fcodeName>
    <population>0</population>
    <adminCode1 ISO3166-2=""22"">11</adminCode1>
    <adminName1>Hormozgan</adminName1>
    <asciiName>Taheri</asciiName>
    <alternateNames>Taheri,tahry,Ţāherī,طاهری</alternateNames>
    <elevation/>
    <srtm3>13</srtm3>
    <astergdem>15</astergdem>
    <continentCode>AS</continentCode>
    <adminCode2/>
    <adminName2/>
    <alternateName lang=""link"">https://en.wikipedia.org/wiki/Taheri,_Hormozgan</alternateName>
    <alternateName lang=""fa"">Ţāherī</alternateName>
    <alternateName lang=""fa"">طاهری</alternateName>
    <timezone dstOffset=""3.5"" gmtOffset=""3.5"">Asia/Tehran</timezone>
    <bbox>
        <west>56.67068</west>
        <north>27.30039</north>
        <east>56.69092</east>
        <south>27.28241</south>
        <accuracyLevel>0</accuracyLevel>
    </bbox>
</geoname>
","Taheri,tahry,Ţāherī,طاهری",27.2914,56.6808,,,,,,
shammar_jabal.txt,Jabal Shammar,Western Arabia,10,105532,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""no""?>
<geoname>
    <toponymName>Jabal Shammar</toponymName>
    <name>Jabal Shammar</name>
    <lat>27.49057</lat>
    <lng>41.17786</lng>
    <geonameId>105532</geonameId>
    <countryCode>SA</countryCode>
    <countryName>Saudi Arabia</countryName>
    <fcl>L</fcl>
    <fcode>RGN</fcode>
    <fclName>parks,area, ...</fclName>
    <fcodeName>region</fcodeName>
    <population>0</population>
    <adminCode1 ISO3166-2=""06"">13</adminCode1>
    <adminName1>Ha'il Region</adminName1>
    <asciiName>Jabal Shammar</asciiName>
    <alternateNames>Djabal Shammar,Jabal Shammar,Jebel Shammar,Shammar</alternateNames>
    <elevation/>
    <srtm3>953</srtm3>
    <astergdem>959</astergdem>
    <continentCode>AS</continentCode>
    <adminCode2/>
    <adminName2/>
    <alternateName>Djabal Shammar</alternateName>
    <alternateName>Jabal Shammar</alternateName>
    <alternateName>Jebel Shammar</alternateName>
    <alternateName>Shammar</alternateName>
    <timezone dstOffset=""3.0"" gmtOffset=""3.0"">Asia/Riyadh</timezone>
</geoname>
","Djabal Shammar,Jabal Shammar,Jebel Shammar,Shammar",27.49057,41.17786,,,,,,
shammar_jabal.txt,Silaimi,Western Arabia,10,108051,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""no""?>
<geoname>
    <toponymName>As Sulaymī</toponymName>
    <name>As Sulaymī</name>
    <lat>26.1784</lat>
    <lng>41.2147</lng>
    <geonameId>108051</geonameId>
    <countryCode>SA</countryCode>
    <countryName>Saudi Arabia</countryName>
    <fcl>P</fcl>
    <fcode>PPL</fcode>
    <fclName>city, village,...</fclName>
    <fcodeName>populated place</fcodeName>
    <population>0</population>
    <adminCode1>00</adminCode1>
    <adminName1/>
    <asciiName>As Sulaymi</asciiName>
    <alternateNames>As Sulaimi,As Sulaymi,As Sulaymī,Silaimi</alternateNames>
    <elevation/>
    <srtm3>973</srtm3>
    <astergdem>970</astergdem>
    <continentCode>AS</continentCode>
    <adminCode2/>
    <adminName2/>
    <alternateName>As Sulaimi</alternateName>
    <alternateName>As Sulaymī</alternateName>
    <alternateName>Silaimi</alternateName>
    <timezone dstOffset=""3.0"" gmtOffset=""3.0"">Asia/Riyadh</timezone>
    <bbox>
        <west>41.20468</west>
        <north>26.18739</north>
        <east>41.22472</east>
        <south>26.16941</south>
        <accuracyLevel>0</accuracyLevel>
    </bbox>
</geoname>
","As Sulaimi,As Sulaymi,As Sulaymī,Silaimi",26.1784,41.2147,,,,,,
najd.txt,Sha'arah,Western Arabia,10,108250,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""no""?>
<geoname>
    <toponymName>Ash Sha‘rā’</toponymName>
    <name>Ash Sha‘rā’</name>
    <lat>24.26554</lat>
    <lng>44.18449</lng>
    <geonameId>108250</geonameId>
    <countryCode>SA</countryCode>
    <countryName>Saudi Arabia</countryName>
    <fcl>P</fcl>
    <fcode>PPL</fcode>
    <fclName>city, village,...</fclName>
    <fcodeName>populated place</fcodeName>
    <population>0</population>
    <adminCode1 ISO3166-2=""01"">10</adminCode1>
    <adminName1>Riyadh Region</adminName1>
    <asciiName>Ash Sha`ra'</asciiName>
    <alternateNames>Ash Sha`ra',Ash Sha‘rā’,Sha'arah,Sha'ra,Sha`ara,Sha‘ara,Sha’arah,Sha’ra</alternateNames>
    <elevation/>
    <srtm3>941</srtm3>
    <astergdem>940</astergdem>
    <continentCode>AS</continentCode>
    <adminCode2/>
    <adminName2/>
    <alternateName>Ash Sha‘rā’</alternateName>
    <alternateName>Sha‘ara</alternateName>
    <alternateName>Sha’arah</alternateName>
    <alternateName>Sha’ra</alternateName>
    <timezone dstOffset=""3.0"" gmtOffset=""3.0"">Asia/Riyadh</timezone>
    <bbox>
        <west>44.17462</west>
        <north>24.27454</north>
        <east>44.19435</east>
        <south>24.25655</south>
        <accuracyLevel>0</accuracyLevel>
    </bbox>
</geoname>
","Ash Sha`ra',Ash Sha‘rā’,Sha'arah,Sha'ra,Sha`ara,Sha‘ara,Sha’arah,Sha’ra",24.26554,44.18449,,,,,,
qasim.txt,Dhalfa 'ah,Western Arabia,10,110338,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""no""?>
<geoname>
    <toponymName>Aḑ Ḑalfa‘ah</toponymName>
    <name>Aḑ Ḑalfa‘ah</name>
    <lat>26.31592</lat>
    <lng>43.67524</lng>
    <geonameId>110338</geonameId>
    <countryCode>SA</countryCode>
    <countryName>Saudi Arabia</countryName>
    <fcl>P</fcl>
    <fcode>PPL</fcode>
    <fclName>city, village,...</fclName>
    <fcodeName>populated place</fcodeName>
    <population>0</population>
    <adminCode1 ISO3166-2=""05"">08</adminCode1>
    <adminName1>Al-Qassim Region</adminName1>
    <asciiName>Ad Dalfa`ah</asciiName>
    <alternateNames>Ad Dalfa`ah,Aḑ Ḑalfa‘ah,الضَّلفَعَة</alternateNames>
    <elevation/>
    <srtm3>655</srtm3>
    <astergdem>658</astergdem>
    <continentCode>AS</continentCode>
    <adminCode2/>
    <adminName2/>
    <alternateName>Aḑ Ḑalfa‘ah</alternateName>
    <alternateName lang=""ar"">الضَّلفَعَة</alternateName>
    <timezone dstOffset=""3.0"" gmtOffset=""3.0"">Asia/Riyadh</timezone>
    <bbox>
        <west>43.66521</west>
        <north>26.32491</north>
        <east>43.68528</east>
        <south>26.30692</south>
        <accuracyLevel>0</accuracyLevel>
    </bbox>
</geoname>
","Ad Dalfa`ah,Aḑ Ḑalfa‘ah,الضَّلفَعَة",26.31592,43.67524,,,,,,
qasim.txt,Dūd (Ab-ad-),Western Arabia,10,110769,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""no""?>
<geoname>
    <toponymName>Abā ad Dūd</toponymName>
    <name>Abā ad Dūd</name>
    <lat>27.02099</lat>
    <lng>44.07662</lng>
    <geonameId>110769</geonameId>
    <countryCode>SA</countryCode>
    <countryName>Saudi Arabia</countryName>
    <fcl>P</fcl>
    <fcode>PPL</fcode>
    <fclName>city, village,...</fclName>
    <fcodeName>populated place</fcodeName>
    <population>0</population>
    <adminCode1 ISO3166-2=""05"">08</adminCode1>
    <adminName1>Al-Qassim Region</adminName1>
    <asciiName>Aba ad Dud</asciiName>
    <alternateNames>Ab-ad-Dud,Ab-ad-Dūd,Aba ad Dud,Aba-ed-Dud,Abal Dud,Abā ad Dūd,Ahlab-ad-Dud,Aḩlab-ad-Dūd,aba aldwd,ahlb aldwd,Аба-ед-Дуд,أبا الدود,احلب الدود</alternateNames>
    <elevation/>
    <srtm3>580</srtm3>
    <astergdem>576</astergdem>
    <continentCode>AS</continentCode>
    <adminCode2/>
    <adminName2/>
    <alternateName>Abā ad Dūd</alternateName>
    <alternateName>Ab-ad-Dūd</alternateName>
    <alternateName>Abal Dud</alternateName>
    <alternateName>Aḩlab-ad-Dūd</alternateName>
    <alternateName lang=""uk"">Аба-ед-Дуд</alternateName>
    <alternateName lang=""ar"">أبا الدود</alternateName>
    <alternateName from="""" isHistoric=""true"" lang=""ar"" to="""">احلب الدود</alternateName>
    <timezone dstOffset=""3.0"" gmtOffset=""3.0"">Asia/Riyadh</timezone>
    <bbox>
        <west>44.06653</west>
        <north>27.02998</north>
        <east>44.08672</east>
        <south>27.01199</south>
        <accuracyLevel>0</accuracyLevel>
    </bbox>
</geoname>
","Ab-ad-Dud,Ab-ad-Dūd,Aba ad Dud,Aba-ed-Dud,Abal Dud,Abā ad Dūd,Ahlab-ad-Dud,Aḩlab-ad-Dūd,aba aldwd,ahlb aldwd,Аба-ед-Дуд,أبا الدود,احلب الدود",27.02099,44.07662,,,,,,
arabistan.txt,arabistan,Arabistan,10,127082,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""no""?>
<geoname>
    <toponymName>Khuzestan Province</toponymName>
    <name>Khuzestan</name>
    <lat>31.5</lat>
    <lng>49</lng>
    <geonameId>127082</geonameId>
    <countryCode>IR</countryCode>
    <countryName>Iran</countryName>
    <fcl>A</fcl>
    <fcode>ADM1</fcode>
    <fclName>country, state, region,...</fclName>
    <fcodeName>first-order administrative division</fcodeName>
    <population>4710509</population>
    <adminCode1 ISO3166-2=""06"">15</adminCode1>
    <adminName1>Khuzestan</adminName1>
    <asciiName>Khuzestan Province</asciiName>
    <alternateNames>Chuzestan,Huzestano,Khusistan,Khuzestan,Khuzestan Province,Khuzestán,Khuzistao,Khuziston,Khuzistão,Khūzestān,Provinco Huzestano,Provinco Ĥuzestano,The 6th Province,Ustoni Huziston,Xuzistan,Xûzistan,astan khwzstan,fuzesutan zhou,khwzstan,mhafzt khwzstan,Ĥuzestano,Устони Хӯзистон,Хузестан,Хӯзистон,استان خوزستان,خوزستان,محافظة خوزستان,フーゼスターン州</alternateNames>
    <elevation/>
    <srtm3>19</srtm3>
    <astergdem>10</astergdem>
    <continentCode>AS</continentCode>
    <adminTypeName>province</adminTypeName>
    <adminCode2/>
    <adminName2/>
    <alternateName lang=""de"">Chuzestan</alternateName>
    <alternateName lang=""link"">https://en.wikipedia.org/wiki/Khuzestan_Province</alternateName>
    <alternateName lang=""link"">https://fa.wikipedia.org/wiki/%D8%A7%D8%B3%D8%AA%D8%A7%D9%86_%D8%AE%D9%88%D8%B2%D8%B3%D8%AA%D8%A7%D9%86</alternateName>
    <alternateName lang=""link"">https://ru.wikipedia.org/wiki/%D0%A5%D1%83%D0%B7%D0%B5%D1%81%D1%82%D0%B0%D0%BD</alternateName>
    <alternateName isPreferredName=""true"" isShortName=""true"" lang=""eo"">Ĥuzestano</alternateName>
    <alternateName lang=""da"">Khusistan</alternateName>
    <alternateName isPreferredName=""true"" lang=""en"">Khuzestan</alternateName>
    <alternateName lang=""fr"">Khuzestan</alternateName>
    <alternateName lang=""nl"">Khuzestan</alternateName>
    <alternateName lang=""sv"">Khuzestan</alternateName>
    <alternateName lang=""es"">Khuzestán</alternateName>
    <alternateName lang=""phon"">Khūzestān</alternateName>
    <alternateName>Khūzestān</alternateName>
    <alternateName lang=""en"">Khuzestan Province</alternateName>
    <alternateName lang=""pt"">Khuzistão</alternateName>
    <alternateName lang=""eo"">Provinco Ĥuzestano</alternateName>
    <alternateName lang=""wkdt"">Q241119</alternateName>
    <alternateName lang=""en"">The 6th Province</alternateName>
    <alternateName lang=""ku"">Xûzistan</alternateName>
    <alternateName lang=""tg"">Устони Хӯзистон</alternateName>
    <alternateName lang=""ru"">Хузестан</alternateName>
    <alternateName isPreferredName=""true"" lang=""tg"">Хӯзистон</alternateName>
    <alternateName lang=""fa"">استان خوزستان</alternateName>
    <alternateName isPreferredName=""true"" lang=""ar"">خوزستان</alternateName>
    <alternateName isPreferredName=""true"" lang=""fa"">خوزستان</alternateName>
    <alternateName lang=""ar"">محافظة خوزستان</alternateName>
    <alternateName lang=""ja"">フーゼスターン州</alternateName>
    <timezone dstOffset=""3.5"" gmtOffset=""3.5"">Asia/Tehran</timezone>
    <bbox>
        <west>47.60268</west>
        <north>33.09361</north>
        <east>50.43416</east>
        <south>29.94971</south>
        <accuracyLevel>0</accuracyLevel>
    </bbox>
</geoname>
","Chuzestan,Huzestano,Khusistan,Khuzestan,Khuzestan Province,Khuzestán,Khuzistao,Khuziston,Khuzistão,Khūzestān,Provinco Huzestano,Provinco Ĥuzestano,The 6th Province,Ustoni Huziston,Xuzistan,Xûzistan,astan khwzstan,fuzesutan zhou,khwzstan,mhafzt khwzstan,Ĥuzestano,Устони Хӯзистон,Хузестан,Хӯзистон,استان خوزستان,خوزستان,محافظة خوزستان,フーゼスターン州",31.5,49,,,,,,
dizful_district.txt,Ganjeh(Qarīyeh),Arabistan,10,140857,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""no""?>
<geoname>
    <toponymName>Bonvār-e Nāz̧er</toponymName>
    <name>Bonvār-e Nāz̧er</name>
    <lat>32.41284</lat>
    <lng>48.29097</lng>
    <geonameId>140857</geonameId>
    <countryCode>IR</countryCode>
    <countryName>Iran</countryName>
    <fcl>P</fcl>
    <fcode>PPL</fcode>
    <fclName>city, village,...</fclName>
    <fcodeName>populated place</fcodeName>
    <population>0</population>
    <adminCode1 ISO3166-2=""06"">15</adminCode1>
    <adminName1>Khuzestan</adminName1>
    <asciiName>Bonvar-e Nazer</asciiName>
    <alternateNames>Benvar-e Nazer,Benvār-e Nāz̧er,Bonvar Nazer,Bonvar-e Nazer,Bonvār Nāz̧er,Bonvār-e Nāz̧er,Shahrak-e Eslamabad,Shahrak-e Eslāmābād,bnwar nazr,shhrk aslam abad,بنوار ناظر,شهرک اسلام آباد</alternateNames>
    <elevation/>
    <srtm3>114</srtm3>
    <astergdem>108</astergdem>
    <continentCode>AS</continentCode>
    <adminCode2/>
    <adminName2/>
    <alternateName>Benvār-e Nāz̧er</alternateName>
    <alternateName>Bonvār-e Nāz̧er</alternateName>
    <alternateName lang=""fa"">Bonvār Nāz̧er</alternateName>
    <alternateName lang=""fa"">Shahrak-e Eslāmābād</alternateName>
    <alternateName lang=""fa"">بنوار ناظر</alternateName>
    <alternateName lang=""fa"">شهرک اسلام آباد</alternateName>
    <timezone dstOffset=""3.5"" gmtOffset=""3.5"">Asia/Tehran</timezone>
    <bbox>
        <west>48.28031</west>
        <north>32.42183</north>
        <east>48.30162</east>
        <south>32.40384</south>
        <accuracyLevel>0</accuracyLevel>
    </bbox>
</geoname>
","Benvar-e Nazer,Benvār-e Nāz̧er,Bonvar Nazer,Bonvar-e Nazer,Bonvār Nāz̧er,Bonvār-e Nāz̧er,Shahrak-e Eslamabad,Shahrak-e Eslāmābād,bnwar nazr,shhrk aslam abad,بنوار ناظر,شهرک اسلام آباد",32.41284,48.29097,,,,,,
sirhan_wadi.txt,Waisit,Western Arabia,10,392712,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""no""?>
<geoname>
    <toponymName>Uwaysiţ</toponymName>
    <name>Uwaysiţ</name>
    <lat>30.53312</lat>
    <lng>38.17585</lng>
    <geonameId>392712</geonameId>
    <countryCode>SA</countryCode>
    <countryName>Saudi Arabia</countryName>
    <fcl>P</fcl>
    <fcode>PPLL</fcode>
    <fclName>city, village,...</fclName>
    <fcodeName>populated locality</fcodeName>
    <population>0</population>
    <adminCode1>00</adminCode1>
    <adminName1/>
    <asciiName>Uwaysit</asciiName>
    <alternateNames>Uwaysit,Uwaysiţ</alternateNames>
    <elevation/>
    <srtm3>541</srtm3>
    <astergdem>534</astergdem>
    <continentCode>AS</continentCode>
    <adminCode2/>
    <adminName2/>
    <alternateName>Uwaysiţ</alternateName>
    <timezone dstOffset=""3.0"" gmtOffset=""3.0"">Asia/Riyadh</timezone>
    <bbox>
        <west>38.17481</west>
        <north>30.53402</north>
        <east>38.1769</east>
        <south>30.53222</south>
        <accuracyLevel>0</accuracyLevel>
    </bbox>
</geoname>
","Uwaysit,Uwaysiţ",30.53312,38.17585,,,,,,
minab_district.txt,Būmāni,Persian Coast,10,6649726,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""no""?>
<geoname>
    <toponymName>Bemānī</toponymName>
    <name>Bemānī</name>
    <lat>26.8297</lat>
    <lng>57.0467</lng>
    <geonameId>6649726</geonameId>
    <countryCode>IR</countryCode>
    <countryName>Iran</countryName>
    <fcl>P</fcl>
    <fcode>PPL</fcode>
    <fclName>city, village,...</fclName>
    <fcodeName>populated place</fcodeName>
    <population>0</population>
    <adminCode1 ISO3166-2=""22"">11</adminCode1>
    <adminName1>Hormozgan</adminName1>
    <asciiName>Bemani</asciiName>
    <alternateNames>Bemani,Bemānī,bmany,بمانی</alternateNames>
    <elevation/>
    <srtm3>14</srtm3>
    <astergdem>17</astergdem>
    <continentCode>AS</continentCode>
    <adminCode2/>
    <adminName2/>
    <alternateName lang=""fa"">Bemānī</alternateName>
    <alternateName lang=""link"">https://en.wikipedia.org/wiki/Bemani,_Iran</alternateName>
    <alternateName lang=""fa"">بمانی</alternateName>
    <timezone dstOffset=""3.5"" gmtOffset=""3.5"">Asia/Tehran</timezone>
    <bbox>
        <west>57.03662</west>
        <north>26.83869</north>
        <east>57.05678</east>
        <south>26.82071</south>
        <accuracyLevel>0</accuracyLevel>
    </bbox>
</geoname>
","Bemani,Bemānī,bmany,بمانی",26.8297,57.0467,,,,,,
